FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
1,Alabama,2022,1,"4,002,068","2,278,519",56.9,"2,218,249",55.4,"60,270",2.6
2,Alaska,2022,1,"546,363","357,699",65.5,"339,409",62.1,"18,290",5.1
4,Arizona,2022,1,"5,811,313","3,562,073",61.3,"3,432,058",59.1,"130,015",3.6
5,Arkansas,2022,1,"2,370,811","1,359,125",57.3,"1,315,324",55.5,"43,801",3.2
6,California,2022,1,"31,078,917","19,200,001",61.8,"18,205,836",58.6,"994,165",5.2
37,Los Angeles County,2022,1,"7,910,056","5,034,593",63.6,"4,717,059",59.6,"317,534",6.3
8,Colorado,2022,1,"4,659,353","3,199,508",68.7,"3,072,499",65.9,"127,009",4
9,Connecticut,2022,1,"2,943,701","1,956,669",66.5,"1,862,039",63.3,"94,630",4.8
10,Delaware,2022,1,"815,369","496,669",60.9,"473,600",58.1,"23,069",4.6
11,District of Columbia,2022,1,"548,005","383,681",70,"360,522",65.8,"23,159",6
12,Florida,2022,1,"17,958,627","10,595,755",59,"10,224,527",56.9,"371,228",3.5
13,Georgia,2022,1,"8,456,830","5,210,533",61.6,"5,048,978",59.7,"161,555",3.1
15,Hawaii,2022,1,"1,124,469","666,270",59.3,"644,870",57.3,"21,400",3.2
16,Idaho,2022,1,"1,490,771","939,689",63,"914,562",61.3,"25,127",2.7
17,Illinois,2022,1,"10,055,315","6,473,046",64.4,"6,164,248",61.3,"308,798",4.8
18,Indiana,2022,1,"5,344,958","3,370,014",63.1,"3,272,839",61.2,"97,175",2.9
19,Iowa,2022,1,"2,515,237","1,704,321",67.8,"1,659,074",66,"45,247",2.7
20,Kansas,2022,1,"2,264,374","1,498,559",66.2,"1,461,629",64.5,"36,930",2.5
21,Kentucky,2022,1,"3,537,043","2,052,685",58,"1,971,515",55.7,"81,170",4
22,Louisiana,2022,1,"3,569,081","2,086,684",58.5,"2,003,051",56.1,"83,633",4
23,Maine,2022,1,"1,147,852","681,545",59.4,"656,769",57.2,"24,776",3.6
24,Maryland,2022,1,"4,886,089","3,172,616",64.9,"3,056,712",62.6,"115,904",3.7
25,Massachusetts,2022,1,"5,748,716","3,752,622",65.3,"3,600,641",62.6,"151,981",4
26,Michigan,2022,1,"8,071,287","4,813,511",59.6,"4,603,343",57,"210,168",4.4
27,Minnesota,2022,1,"4,511,354","3,056,628",67.8,"2,971,950",65.9,"84,678",2.8
28,Mississippi,2022,1,"2,279,648","1,259,077",55.2,"1,207,303",53,"51,774",4.1
29,Missouri,2022,1,"4,872,725","3,053,803",62.7,"2,964,225",60.8,"89,578",2.9
30,Montana,2022,1,"892,711","561,073",62.9,"546,550",61.2,"14,523",2.6
31,Nebraska,2022,1,"1,515,357","1,054,637",69.6,"1,032,595",68.1,"22,042",2.1
32,Nevada,2022,1,"2,515,969","1,506,448",59.9,"1,425,261",56.6,"81,187",5.4
33,New Hampshire,2022,1,"1,154,991","758,462",65.7,"740,891",64.1,"17,571",2.3
34,New Jersey,2022,1,"7,416,181","4,678,306",63.1,"4,439,967",59.9,"238,339",5.1
35,New Mexico,2022,1,"1,673,720","952,185",56.9,"900,599",53.8,"51,586",5.4
36,New York,2022,1,"16,012,195","9,602,911",60,"9,109,926",56.9,"492,985",5.1
51000,New York city,2022,1,"6,799,202","4,113,670",60.5,"3,800,369",55.9,"313,301",7.6
37,North Carolina,2022,1,"8,407,188","5,136,163",61.1,"4,949,439",58.9,"186,724",3.6
38,North Dakota,2022,1,"597,323","413,280",69.2,"403,890",67.6,"9,390",2.3
39,Ohio,2022,1,"9,333,345","5,734,686",61.4,"5,498,833",58.9,"235,853",4.1
40,Oklahoma,2022,1,"3,079,873","1,873,012",60.8,"1,819,207",59.1,"53,805",2.9
41,Oregon,2022,1,"3,466,040","2,166,951",62.5,"2,083,697",60.1,"83,254",3.8
42,Pennsylvania,2022,1,"10,495,444","6,440,285",61.4,"6,151,448",58.6,"288,837",4.5
44,Rhode Island,2022,1,"899,706","569,398",63.3,"549,318",61.1,"20,080",3.5
